region_number,region_label,included_communities,population
120,Downtown--(Region:120),Los Angeles-Downtown;Los Angeles-Little Tokyo,27488
121,University Park--(Region:121),Los Angeles-Adams-Normandie;Los Angeles-University Park,35410
122,West Adams--(Region:122),Los Angeles-West Adams,28121
123,Harvard Heights--(Region:123),Los Angeles-Harvard Heights;Los Angeles-Victoria Park,26967
124,Pico-Union--(Region:124),Los Angeles-Pico-Union,42603
125,Westlake--(Region:125),Los Angeles-Westlake,58683
126,Wilshire Center--(Region:126),Los Angeles-Wilshire Center,51463
127,"Little
Bangladesh--(Region:127)",Los Angeles-Little Bangladesh,29070
128,Koreatown--(Region:128),Los Angeles-Koreatown,52603
129,Hancock Park--(Region:129),Los Angeles-Country Club Park;Los Angeles-Hancock Park,31829
130,Melrose--(Region:130),Los Angeles-Melrose,77634
131,East Hollywood--(Region:131),Los Angeles-East Hollywood,29790
132,Silverlake--(Region:132),Los Angeles-Silverlake,43188
133,Temple-Beaudry--(Region:133),Los Angeles-Historic Filipinotown;Los Angeles-Temple-Beaudry,53142
134,Los Feliz--(Region:134),Los Angeles-Atwater Village;Los Angeles-Little Armenia;Los Angeles-Los Feliz;Los Angeles-Thai Town,53290
135,Hollywood--(Region:135),Los Angeles-Hollywood,64944
136,Hollywood Hills--(Region:136),Los Angeles-Hollywood Hills,28875
137,Studio City--(Region:137),Los Angeles-Studio City;Los Angeles-Toluca Lake;Los Angeles-Toluca Terrace;Los Angeles-Toluca Woods;Unincorporated-Universal City,32881
138,Valley Glen--(Region:138),Los Angeles-Valley Glen;Los Angeles-Valley Village,53274
139,North Hollywood--(Region:139),Los Angeles-North Hollywood,151354
140,Sun Valley--(Region:140),Los Angeles-Sun Valley,55192
141,Tujunga--(Region:141),Los Angeles-Angeles National Forest;Los Angeles-Tujunga,28196
142,Sunland--(Region:142),Los Angeles-Lakeview Terrace;Los Angeles-Shadow Hills;Los Angeles-Sunland,38465
143,Pacoima--(Region:143),Los Angeles-Pacoima,79940
144,San Fernando--(Region:144),Los Angeles-Mission Hills;San Fernando,48440
145,Sylmar--(Region:145),Los Angeles-Sylmar,82749
146,Granada Hills--(Region:146),Los Angeles-Granada Hills,57975
147,North Hills--(Region:147),Los Angeles-North Hills,60919
148,Panorama City--(Region:148),Los Angeles-Panorama City,76007
149,Arleta--(Region:149),Los Angeles-Arleta,35111
150,Van Nuys--(Region:150),Los Angeles-Van Nuys,92856
151,Sherman Oaks--(Region:151),Los Angeles-Sherman Oaks,84967
152,Brentwood--(Region:152),Los Angeles-Bel Air;Los Angeles-Beverly Crest;Los Angeles-Brentwood;Unincorporated-Franklin Canyon,51891
153,Westwood--(Region:153),Los Angeles-Westwood,54421
154,"West Los
Angeles--(Region:154)",Los Angeles-West Los Angeles;Unincorporated-West LA,38159
155,"Pacific
Palisades--(Region:155)",Los Angeles-Mandeville Canyon;Los Angeles-Pacific Palisades;Los Angeles-Palisades Highlands,27767
156,Encino--(Region:156),Los Angeles-Encino,42533
157,Lake Balboa--(Region:157),Los Angeles-Lake Balboa,41661
158,Northridge--(Region:158),Los Angeles-Northridge,67755
159,Porter Ranch--(Region:159),Los Angeles-Porter Ranch,33206
160,Chatsworth--(Region:160),Los Angeles-Chatsworth,36039
161,West Hills--(Region:161),Los Angeles-West Hills;Unincorporated-Lake Manor;Unincorporated-West Chatsworth;Unincorporated-Westhills,41543
162,Canoga Park--(Region:162),Los Angeles-Canoga Park,63694
163,Winnetka--(Region:163),Los Angeles-Reseda Ranch;Los Angeles-Winnetka,55773
164,Reseda--(Region:164),Los Angeles-Reseda,75758
165,Tarzana--(Region:165),Los Angeles-Tarzana,30227
166,Woodland Hills--(Region:166),Los Angeles-Woodland Hills,64543
167,Calabasas--(Region:167),Calabasas;Hidden Hills,26051
168,Agoura Hills--(Region:168),Agoura Hills;Westlake Village,29523
169,"Santa Monica
Mountains--(Region:169)",Malibu;Unincorporated-Santa Monica Mountains,31552
170,Avalon--(Region:170),Avalon;Unincorporated-San Clemente Island;Unincorporated-Santa Catalina Island,4034
171,West Hollywood--(Region:171),West Hollywood,35798
