"level","region_number","region_label","location_number","location_label"
2,28,"Temple City",255,"Temple City"
2,29,"Rosemead",256,"Rosemead"
2,30,"San Gabriel",257,"San Gabriel"
2,31,"South Pasadena",258,"San Marino"
2,31,"South Pasadena",259,"South Pasadena"
2,32,"Alhambra",260,"Alhambra"
2,33,"Monterey Park",261,"Monterey Park"
2,34,"East Los Angeles",262,"Unincorporated - East Los Angeles"
2,35,"Montebello",263,"Montebello"
2,36,"South El Monte",264,"South El Monte"
2,36,"South El Monte",265,"Unincorporated - El Monte"
2,36,"South El Monte",266,"Unincorporated - Pellissier Village"
2,36,"South El Monte",267,"Unincorporated - South El Monte"
2,36,"South El Monte",268,"Unincorporated - South San Gabriel"
2,36,"South El Monte",269,"Unincorporated - Whittier Narrows"
2,37,"Bassett",270,"Industry"
2,37,"Bassett",271,"Unincorporated - Avocado Heights"
2,37,"Bassett",272,"Unincorporated - Bassett"
2,37,"Bassett",273,"Unincorporated - North Whittier"
2,37,"Bassett",274,"Unincorporated - West Puente Valley"
2,38,"La Puente",275,"La Puente"
2,39,"Valinda",276,"Unincorporated - San Jose Hills"
2,39,"Valinda",277,"Unincorporated - Valinda"
2,40,"Walnut",278,"Unincorporated - Walnut"
2,40,"Walnut",279,"Walnut"
2,41,"Diamond Bar",280,"Diamond Bar"
2,42,"Rowland Heights",281,"Unincorporated - Rowland Heights"
2,43,"Hacienda Heights",282,"Unincorporated - Hacienda Heights"
2,44,"Pico Rivera",283,"Pico Rivera"
2,45,"Whittier",284,"La Habra Heights"
2,45,"Whittier",285,"Unincorporated - La Habra Heights"
2,45,"Whittier",286,"Unincorporated - Sunrise Village"
2,45,"Whittier",287,"Unincorporated - Whittier"
2,45,"Whittier",288,"Whittier"
2,46,"La Mirada",289,"La Mirada"
2,46,"La Mirada",290,"Unincorporated - East La Mirada"
2,47,"South Whittier",291,"Unincorporated - East Whittier"
2,47,"South Whittier",292,"Unincorporated - South Whittier"
2,48,"West Whittier/Los Nietos",293,"Santa Fe Springs"
2,48,"West Whittier/Los Nietos",294,"Unincorporated - West Whittier/Los Nietos"
2,49,"Norwalk",295,"Norwalk"
2,50,"Downey",296,"Downey"
2,51,"Maywood",297,"Commerce"
2,51,"Maywood",298,"Maywood"
2,51,"Maywood",299,"Unincorporated - Bandini Islands"
2,51,"Maywood",300,"Vernon"
2,52,"Bell",301,"Bell"
2,53,"Huntington Park",302,"Huntington Park"
2,54,"Florence-Firestone",303,"Unincorporated - Florence-Firestone"
2,54,"Florence-Firestone",304,"Unincorporated - Walnut Park"
2,55,"South Gate",305,"South Gate"
2,56,"Bell Gardens",306,"Bell Gardens"
2,56,"Bell Gardens",307,"Cudahy"
2,57,"Lynwood",308,"Lynwood"
2,58,"Paramount",309,"Paramount"
2,59,"Bellflower",310,"Bellflower"
2,59,"Bellflower",311,"Unincorporated - Lynwood"
2,60,"Cerritos",312,"Artesia"
2,60,"Cerritos",313,"Cerritos"
2,60,"Cerritos",314,"Unincorporated - Cerritos"
2,61,"Lakewood",315,"Hawaiian Gardens"
2,61,"Lakewood",316,"Lakewood"
2,61,"Lakewood",317,"Signal Hill"
2,61,"Lakewood",318,"Unincorporated - Lakewood"
2,61,"Lakewood",319,"Unincorporated - Long Beach"
2,62,"Long Beach",320,"Long Beach"
2,63,"Compton",321,"Compton"
2,63,"Compton",322,"Unincorporated - East Rancho Dominguez"
2,63,"Compton",323,"Unincorporated - Rosewood"
2,64,"Willowbrook",324,"Unincorporated - Athens Village"
2,64,"Willowbrook",325,"Unincorporated - Rosewood/East Gardena"
2,64,"Willowbrook",326,"Unincorporated - Rosewood/West Rancho Dominguez"
2,64,"Willowbrook",327,"Unincorporated - West Rancho Dominguez"
2,64,"Willowbrook",328,"Unincorporated - Willowbrook"
2,65,"Carson",329,"Carson"
2,65,"Carson",330,"Unincorporated - Rancho Dominguez"
2,65,"Carson",331,"Unincorporated - West Carson"
2,66,"Rancho Palos Verdes",332,"Rancho Palos Verdes"
2,67,"Lomita",333,"Lomita"
2,67,"Lomita",334,"Palos Verdes Estates"
2,67,"Lomita",335,"Rolling Hills"
2,67,"Lomita",336,"Rolling Hills Estates"
2,67,"Lomita",337,"Unincorporated - Palos Verdes Peninsula"
2,67,"Lomita",338,"Unincorporated - Westfield/Academy Hills"
2,68,"Torrance",339,"Torrance"
2,69,"Redondo Beach",340,"Redondo Beach"
2,70,"Manhattan Beach",341,"Hermosa Beach"
2,70,"Manhattan Beach",342,"Manhattan Beach"
2,71,"El Segundo",343,"El Segundo"
2,71,"El Segundo",344,"Unincorporated - Del Aire"
2,71,"El Segundo",345,"Unincorporated - Wiseburn"
2,72,"Hawthorne",346,"Hawthorne"
2,72,"Hawthorne",347,"Unincorporated - Hawthorne"
2,72,"Hawthorne",348,"Unincorporated - Lennox"
2,73,"Lawndale",349,"Lawndale"
2,73,"Lawndale",350,"Unincorporated - El Camino Village"
2,74,"Gardena",351,"Gardena"
