"location_number","location_label","level","region_number","region_label","date_reported","n_cases"
196,"Unincorporated - Littlerock/Pearblossom",2,7,"Lake Los Angeles","2020-03-27",0
208,"Unincorporated - Llano",2,8,"Acton","2020-03-27",0
319,"Unincorporated - Long Beach",2,61,"Lakewood","2020-03-27",0
311,"Unincorporated - Lynwood",2,59,"Bellflower","2020-03-27",NA
383,"Unincorporated - Marina del Rey",2,92,"Playa Vista","2020-03-27",-1
400,"Unincorporated - Miracle Mile",2,100,"Park La Brea","2020-03-27",NA
231,"Unincorporated - Monrovia",2,16,"Duarte","2020-03-27",-1
186,"Unincorporated - Newhall",2,4,"Stevenson Ranch","2020-03-27",0
197,"Unincorporated - North Lancaster",2,7,"Lake Los Angeles","2020-03-27",0
273,"Unincorporated - North Whittier",2,37,"Bassett","2020-03-27",0
222,"Unincorporated - Northeast San Gabriel",2,12,"Pasadena","2020-03-27",0
244,"Unincorporated - Padua Hills",2,21,"Claremont","2020-03-27",0
209,"Unincorporated - Palmdale",2,8,"Acton","2020-03-27",0
337,"Unincorporated - Palos Verdes Peninsula",2,67,"Lomita","2020-03-27",0
210,"Unincorporated - Pearblossom/Llano",2,8,"Acton","2020-03-27",0
266,"Unincorporated - Pellissier Village",2,36,"South El Monte","2020-03-27",0
211,"Unincorporated - Placerita Canyon",2,8,"Acton","2020-03-27",0
246,"Unincorporated - Pomona",2,22,"Pomona","2020-03-27",0
192,"Unincorporated - Quartz Hill",2,5,"Lancaster","2020-03-27",0
330,"Unincorporated - Rancho Dominguez",2,65,"Carson","2020-03-27",0
198,"Unincorporated - Roosevelt",2,7,"Lake Los Angeles","2020-03-27",0
323,"Unincorporated - Rosewood",2,63,"Compton","2020-03-27",0
325,"Unincorporated - Rosewood/East Gardena",2,64,"Willowbrook","2020-03-27",0
326,"Unincorporated - Rosewood/West Rancho Dominguez",2,64,"Willowbrook","2020-03-27",0
281,"Unincorporated - Rowland Heights",2,42,"Rowland Heights","2020-03-27",1
517,"Unincorporated - San Clemente Island",2,170,"Avalon","2020-03-27",NA
179,"Unincorporated - San Francisquito Canyon/BouquetCanyon",2,1,"Canyon Country","2020-03-27",NA
276,"Unincorporated - San Jose Hills",2,39,"Valinda","2020-03-27",0
223,"Unincorporated - San Pasqual",2,12,"Pasadena","2020-03-27",0
212,"Unincorporated - Sand Canyon",2,8,"Acton","2020-03-27",0
518,"Unincorporated - Santa Catalina Island",2,170,"Avalon","2020-03-27",0
515,"Unincorporated - Santa Monica Mountains",2,169,"Santa MonicaMountains","2020-03-27",0
180,"Unincorporated - Saugus",2,1,"Canyon Country","2020-03-27",0
181,"Unincorporated - Saugus/Canyon Country",2,1,"Canyon Country","2020-03-27",0
213,"Unincorporated - South Antelope Valley",2,8,"Acton","2020-03-27",0
199,"Unincorporated - South Edwards",2,7,"Lake Los Angeles","2020-03-27",NA
267,"Unincorporated - South El Monte",2,36,"South El Monte","2020-03-27",0
268,"Unincorporated - South San Gabriel",2,36,"South El Monte","2020-03-27",0
292,"Unincorporated - South Whittier",2,47,"South Whittier","2020-03-27",3
214,"Unincorporated - Southeast Antelope Valley",2,8,"Acton","2020-03-27",0
187,"Unincorporated - Stevenson Ranch",2,4,"Stevenson Ranch","2020-03-27",-1
200,"Unincorporated - Sun Village",2,7,"Lake Los Angeles","2020-03-27",0
286,"Unincorporated - Sunrise Village",2,45,"Whittier","2020-03-27",0
188,"Unincorporated - Twin Lakes/Oat Mountain",2,4,"Stevenson Ranch","2020-03-27",0
465,"Unincorporated - Universal City",2,137,"Studio City","2020-03-27",NA
189,"Unincorporated - Val Verde",2,4,"Stevenson Ranch","2020-03-27",0
182,"Unincorporated - Valencia",2,1,"Canyon Country","2020-03-27",-1
277,"Unincorporated - Valinda",2,39,"Valinda","2020-03-27",-1
356,"Unincorporated - View Park/Windsor Hills",2,77,"Culver City","2020-03-27",0
278,"Unincorporated - Walnut",2,40,"Walnut","2020-03-27",NA
304,"Unincorporated - Walnut Park",2,54,"Florence-Firestone","2020-03-27",0
183,"Unincorporated - West Antelope Valley",2,1,"Canyon Country","2020-03-27",0
331,"Unincorporated - West Carson",2,65,"Carson","2020-03-27",5
502,"Unincorporated - West Chatsworth",2,161,"West Hills","2020-03-27",NA
491,"Unincorporated - West LA",2,154,"West LosAngeles","2020-03-27",-1
274,"Unincorporated - West Puente Valley",2,37,"Bassett","2020-03-27",0
327,"Unincorporated - West Rancho Dominguez",2,64,"Willowbrook","2020-03-27",0
294,"Unincorporated - West Whittier/Los Nietos",2,48,"West Whittier/Los Nietos","2020-03-27",0
338,"Unincorporated - Westfield/Academy Hills",2,67,"Lomita","2020-03-27",0
503,"Unincorporated - Westhills",2,161,"West Hills","2020-03-27",0
215,"Unincorporated - White Fence Farms",2,8,"Acton","2020-03-27",0
287,"Unincorporated - Whittier",2,45,"Whittier","2020-03-27",0
269,"Unincorporated - Whittier Narrows",2,36,"South El Monte","2020-03-27",NA
328,"Unincorporated - Willowbrook",2,64,"Willowbrook","2020-03-27",1
345,"Unincorporated - Wiseburn",2,71,"El Segundo","2020-03-27",-1
300,"Vernon",2,51,"Maywood","2020-03-27",0
279,"Walnut",2,40,"Walnut","2020-03-27",1
251,"West Covina",2,25,"West Covina","2020-03-27",5
519,"West Hollywood",2,171,"West Hollywood","2020-03-27",42
513,"Westlake Village",2,168,"Agoura Hills","2020-03-27",0
288,"Whittier",2,45,"Whittier","2020-03-27",4
